Date,GSPC,Return,VIX,Drawdown,RSI_14,MACD_Hist,Consumer_Sentiment_ZScore,Gold,Oil,true_regime,regime,segment
2010-01-04,1000.0,0.0049649039777562,14.152480635954594,0.0,,0.0,,1800.0,70.0,bull,bull,
2010-01-05,1008.1454772842628,0.0081454772842628,14.093171783232291,0.0,,0.5198253309615211,,1792.852256910738,69.04152114388933,bull,bull,
2010-01-06,1005.8766790904356,-0.0022504670654665,11.40871365473997,-0.0022504670654666,,0.672417487415405,,1789.745249725505,69.47847295908386,bull,bull,
2010-01-07,1001.352352535481,-0.004497893876062,14.339819616597126,-0.0067382385794965,,0.4413607454374214,,1783.509264752788,68.6436617768715,bull,bull,
2010-01-08,993.0599492155052,-0.0082812042124623,16.46565816364349,-0.0149636420622498,,-0.2595231239919827,,1784.8692053376092,68.03262561727936,bull,bull,
2010-01-11,986.8997160833284,-0.0062032842398316,12.45153576184641,-0.0210741025771062,,-1.0814824183099974,,1797.8685348227289,67.24664545150287,bull,bull,
2010-01-12,1010.5781595780826,0.0239927554024698,17.096965302101186,0.0,,-0.0295414279617217,,1789.730927076135,67.14833003118837,bull,bull,
2010-01-13,1021.045158841637,0.0103574366458942,15.975549642168676,0.0,,1.2987232967672606,,1800.65709655269,68.10467722977225,bull,bull,
2010-01-14,1010.4175133783598,-0.0104085949296641,13.531533356057924,-0.0104085949296641,,1.3813815545741337,,1792.3920220768546,68.11417848314383,bull,bull,
2010-01-15,1000.1318029421092,-0.0101796636539485,14.716940725324305,-0.0204823025881184,,0.6976577744755901,,1783.4555797588143,67.76552759336343,bull,bull,
2010-01-18,1004.3872922479508,0.0042549284937479,18.196643615282067,-0.0163145248272703,,0.495817804114713,,1792.3934881546586,66.53847149121616,bull,bull,
2010-01-19,1009.1863736286986,0.0047781183790237,16.46709562701173,-0.0116143591791689,,0.6401547620488526,,1802.4875640660764,66.99262949680215,bull,bull,
2010-01-20,1014.0214568766088,0.0047910706825389,15.017567309796297,-0.0068789337123898,,0.9947408430989648,,1811.8757477601048,66.37865174323062,bull,bull,
2010-01-21,1012.3588202976118,-0.0016396463484295,14.524633366078032,-0.0085073010422768,,1.0455824979295456,,1797.7525668573846,66.48553540696874,bull,bull,
2010-01-22,1011.747726012468,-0.0006036340800232,15.15321814090332,-0.0091057998254618,58.50821556356576,0.9681017059420703,,1792.906354712918,66.21622754208613,bull,bull,
2010-01-25,1014.8062760066672,0.0030230361932748,13.976472884115394,-0.0061102907946281,56.10424822746102,1.0462341867895435,,1801.9388942071432,66.89548198951762,bull,bull,
2010-01-26,1015.9095166118824,0.0010871440503466,10.79050098856197,-0.0050297895105647,53.74387336675681,1.090638361977195,,1802.568223246058,66.782640235143,bull,bull,
2010-01-27,998.279013467371,-0.0173544029819802,19.08435582106946,-0.0222969034984641,55.56362661957534,-0.0864549977412965,,1791.1360524318898,66.74877367277627,bull,bull,
2010-01-28,996.8430918847116,-0.0014383970446015,15.310649998398803,-0.0237032287429697,48.884604564010125,-0.9337567588182742,,1796.240624742596,67.15119974440323,bull,bull,
2010-01-29,990.4520801424368,-0.0064112514740825,15.796294530245074,-0.0299625128568334,52.22593771605732,-1.844028634035838,,1788.716453780302,68.86243271669609,bull,bull,
2010-02-01,992.2365690890751,0.001801691351268,14.884184500246182,-0.0282148047058416,52.117671416987505,-2.220106732239436,,1808.1547021639008,69.61037260680948,bull,bull,
